cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R10-251-2,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R10-251-3,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R10-251-4,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R10-251-5,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R10-251-6,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R2-251-1,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R2-251-2,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R2-251-3,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R3-251-1,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R3-251-2,AL,AL,26,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
