cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
2019-08,ALL,m,KF-2019-08-480,AL,AL,73,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-520,AL,AL,77,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-459,AL,AL,83,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-478,AL,AL,83,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-482,AL,AL,83,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-485,AL,AL,88,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-515,AL,AL,94,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-440,AL,AL,95,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-500,AL,AL,97,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-526,AL,AL,99,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-532,AL,AL,99,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-495,AL,AL,110,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-504,AL,AL,110,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-510,AL,AL,114,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-506,AL,AL,120,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-449,AL,AL,134,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-511,AL,AL,134,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-489,AL,AL,146,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-458,DR,AL,69,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-490,DR,AL,69,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-534,DR,AL,89,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-467,DR,AL,97,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-507,DR,AL,97,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-484,DR,AL,105,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-497,DR,AL,107,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-443,DR,AL,108,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-536,DR,AL,114,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-487,DR,AL,115,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-512,DR,AL,116,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-498,DR,AL,117,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-530,DR,AL,120,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-537,DR,AL,133,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-493,DR,AL,135,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-463,DR,AL,152,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-496,DR,AL,163,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-535,DR,AL,168,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-509,DR,AL,180,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-517,DR,AL,200,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-523,DR,AL,219,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
